Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-09-04,PRO,32687.628302,71791248
2020-09-04,RES,76213.182953,544928586
2020-09-05,PRO,28684.219227,71782416
2020-09-05,RES,79756.588903,544892422
2020-09-06,PRO,24779.656709,71778672
2020-09-06,RES,83165.37621,544861832
2020-09-07,PRO,30213.652646,71787888
2020-09-07,RES,77763.472714,544997070
2020-09-08,PRO,32212.942921,71786448
2020-09-08,RES,76441.600174,544970288
2020-09-09,PRO,32137.321887,71785872
2020-09-09,RES,78018.276882,545004870
2020-09-10,PRO,32892.603705,71784480
2020-09-10,RES,76795.246659,545047642
2020-09-11,PRO,33248.150182,71784096
2020-09-11,RES,77734.371698,545121412
2020-09-12,PRO,29384.752585,71783232
2020-09-12,RES,81794.272493,545093258
2020-09-13,PRO,25648.085694,71780448
2020-09-13,RES,84486.728042,545063992
2020-09-14,PRO,32021.554662,71794128
2020-09-14,RES,80536.205963,545194656
2020-09-15,PRO,34036.743972,71795472
2020-09-15,RES,79729.73039,545209728
2020-09-16,PRO,33759.522605,71801328
2020-09-16,RES,81837.764666,545212032
2020-09-17,PRO,34084.578193,71802288
2020-09-17,RES,80309.148948,545216448
2020-09-18,PRO,34050.122673,71809968
2020-09-18,RES,80249.644962,545285952
2020-09-19,PRO,30210.612578,71814288
2020-09-19,RES,84364.014839,545255772
2020-09-20,PRO,25850.499047,71810640
2020-09-20,RES,86708.894425,545229888
2020-09-21,PRO,31429.358527,71813712
2020-09-21,RES,80795.537747,545351712
2020-09-22,PRO,33004.912922,71815488
2020-09-22,RES,79149.464004,545346336
2020-09-23,PRO,32664.870137,71809440
2020-09-23,RES,81359.458702,545374652
2020-09-24,PRO,33575.317542,71810352
2020-09-24,RES,81419.085944,545413824
2020-09-25,PRO,34375.400767,71798208
2020-09-25,RES,86460.74468,545461968
2020-09-26,PRO,30833.805335,71818464
2020-09-26,RES,98539.962883,545405134
2020-09-27,PRO,27565.462354,71814624
2020-09-27,RES,110831.662681,545378544
2020-09-28,PRO,34975.665134,71824128
2020-09-28,RES,103438.07750099999,545491920
2020-09-29,PRO,36314.536043,71827344
2020-09-29,RES,97259.867876,545483856
2020-09-30,PRO,35129.878913,71827344
2020-09-30,RES,94957.755629,545450060
2020-10-01,PRO,36804.101758,71872608
2020-10-01,RES,96986.941977,545569100
2020-10-02,PRO,38322.105524,71859552
2020-10-02,RES,105427.413395,545560756
2020-10-03,PRO,34143.442552,71863776
2020-10-03,RES,114865.518417,545510256
2020-10-04,PRO,30119.973932,71858112
2020-10-04,RES,120806.512661,545476420
2020-10-05,PRO,38033.341576,71866848
2020-10-05,RES,114742.571358,545617296
2020-10-06,PRO,39705.920118,71867472
2020-10-06,RES,110469.398982,545590464
2020-10-07,PRO,38078.891662,71869488
2020-10-07,RES,108495.032259,545599100
2020-10-08,PRO,37979.453083,71874432
2020-10-08,RES,102618.977268,545604000
2020-10-09,PRO,37788.907525,71880192
2020-10-09,RES,101766.563501,545651900
2020-10-10,PRO,34024.128207,71882784
2020-10-10,RES,111168.548186,545622672
2020-10-11,PRO,30853.665392,71878368
2020-10-11,RES,122497.919876,545581196
2020-10-12,PRO,39286.092083,71891664
2020-10-12,RES,120860.524945,545705128
2020-10-13,PRO,42080.713371,71904816
2020-10-13,RES,121506.033024,545687476
2020-10-14,PRO,41943.954598,71913648
2020-10-14,RES,126871.92688,545670514
2020-10-15,PRO,43823.687676,71918112
2020-10-15,RES,129831.246965,545695228
2020-10-16,PRO,43482.258921,71913024
